case,GT_sub_fat_mean_hu,GT_muscle_mean_hu,JF_sub_fat_mean_hu,JF_vis_fat_mean_hu,JF_muscle_mean_hu,TS_sub_fat_mean_hu,TS_vis_fat_mean_hu,TS_muscle_mean_hu
case_625,-99.62013646936578,20.775241181615755,-98.0531284510221,-16.388829287917392,33.16980846327713,-95.0395909226943,-14.076403549536392,35.1831457312164
case_626,-117.23769095428268,27.2555823196435,-94.37604553467612,-16.514628231704933,37.142746201119024,-88.276611301754,-13.313467915901994,36.111071647274954
case_627,-100.49938380256164,0.9193077880995663,-97.9568600778179,-17.821044878638165,16.7619305137493,-92.8166452778721,-17.170169744738942,22.85245133340192
case_628,-100.98779393201642,13.852832632841388,-97.67201270470215,-17.135698240938318,27.70668616833335,-94.75087866047386,-15.864795294876261,31.517272335535765
case_629,-99.50048229223219,12.690633261928532,-88.64937051260644,-16.385408831496726,26.209063182280296,-83.6586467486819,-14.949137396505817,29.278959580519235
case_630,-107.59557449680366,4.071028473919939,-84.06452255963852,-13.848383246527778,15.967638158665931,-74.57099962726231,-11.976767132535752,20.594944596083828
case_631,-108.56913151577263,0.7708547267942445,-111.76431048845313,-20.742698825666952,13.882539993069912,-109.5094424457895,-20.511807748633963,20.012019589365565
case_632,-105.6943292134483,0.24941712881372374,-104.624424170126,-17.49746157987182,20.007589431590084,-100.47959532356838,-16.42071712434213,25.36327370137226
case_633,-97.90124593080358,19.121524067515555,-101.38299523334442,-16.345058111524573,27.24993903372711,-97.81395708252559,-14.380727447698177,29.16642070430187
case_634,-107.9311605879686,-17.751552518157986,-97.30667718440844,-18.201233122931303,1.2282050240268303,-91.54074473959868,-17.739123447599464,9.439471740885127
case_635,-104.93361392859049,18.10834439397055,-108.27182123332648,-18.709114810668694,28.99887407315649,-106.67181530614437,-18.008846829035175,30.30797223672719
case_636,-95.9760758131187,12.148040730941519,-93.98926363001158,-17.235583074707957,25.59730965077583,-89.97279529137634,-16.404634991737495,32.49417193907734
case_637,-95.98086602277614,16.528214940990537,-101.51862674137023,-19.00872887997874,29.768283106256426,-97.37530274642417,-18.6711168299037,33.0274383800159
case_638,-100.46263651493182,-9.722108552408125,-102.06605090039206,-17.36075982919576,6.2406821054294594,-98.33108773366176,-16.422604938642024,11.429671764267065
case_639,-112.02613348599604,-4.495104395277127,-106.99032606572737,-18.207449257949374,13.795007120717099,-103.55388783799837,-17.668230462807447,20.68456473200207
case_640,-99.0909201583265,-0.8144819959829223,-98.91484807379571,-18.129805186640546,14.803417988797326,-95.47398259601916,-17.772870686321507,22.950960615903917
case_641,-113.3104541181936,6.15469337851174,-109.26490520208453,-18.01093772757017,21.421957232393332,-105.75910136629275,-17.40101706738505,24.803178965573334
case_642,-99.18289181749081,4.5874288163939285,-95.13214834894336,-15.41974169236415,18.726349931303602,-89.14737854280423,-13.663474735506862,23.31328695394
case_643,-89.66533248891703,15.382208111536903,-76.01588429211134,-14.2156303479749,26.271002416496415,-67.24343889196946,-10.968751191175013,28.515868323233995
case_644,-106.69716134134272,2.079809047223326,-109.54871506837578,-19.797779642776476,19.902759259309548,-107.52111023140115,-19.13267499884202,24.13381674357284
case_645,-105.76406955211198,9.637164574782723,-101.84601422270548,-18.069187742440782,25.11094488384377,-98.17536967421577,-17.172079110581198,31.650157529930688
case_646,-102.70540274404254,12.636417461799468,-104.04337105046216,-19.16551848816045,28.33737899905856,-99.69321126697741,-18.020654533448887,31.692342811949526
case_647,-102.76481359164556,-8.331418128624678,-99.87157367828054,-19.175133315034472,4.105366553369297,-95.93587017056407,-18.56286173585844,10.909553538782259
case_648,-94.18054880753712,5.030177089694313,-87.15558658517212,-14.514425654856703,21.18391155295085,-84.58301432174383,-12.999031891371967,24.09473897226221
case_649,-100.65438708556131,17.562489076973012,-102.73914046945737,-15.913713024064121,30.614182874240957,-99.40663531358264,-14.433768550499108,32.5691667860671
case_650,-103.32785988066543,-6.559964262049338,-101.61435389690614,-19.320556753801746,10.173353003273514,-97.0423168102397,-18.521707406517532,16.72289875835721
case_651,-105.08750973482069,26.73786050594268,-97.33442339258674,-16.259039220236716,35.307616850442336,-92.71367404121183,-15.044965072944173,39.88024650233178
case_652,-102.90966077510613,-23.00755453056298,-98.42955888364487,-17.71286580597162,-1.854780503574946,-93.27437557963805,-17.89747163239432,5.009167817377777
case_653,-102.47806485956917,-14.45153636954937,-100.45600710436372,-18.344473278226726,-0.9518171605906075,-96.0617676981504,-18.122238889132515,7.826856915453542
case_654,-101.00878561826185,-8.934745424955993,-96.24093393828005,-17.319577352472088,4.875429987608427,-89.85012585652356,-16.815093096061954,11.853583527171113
case_655,-101.121593436124,5.356649258990319,-92.42438740264139,-15.932333130420346,17.834398035907977,-87.20392580336983,-15.2950966474124,24.255188944393183
case_656,-104.01034863860143,27.260004056170974,-45.31906164019887,-10.291044776119403,35.52237242273383,-42.091585360124036,-7.475445937018278,35.47705083135392
case_657,-104.36390049123914,-6.030245805287114,-99.02543795552059,-18.097074705030174,8.151686139523065,-95.08839432268032,-17.28356673538002,16.00283950209661
case_658,-103.77898708882616,6.52542372881356,-97.25992712701067,-17.077629086074907,20.910012311471903,-93.62917231304482,-15.811534022176545,24.654423421508184
case_659,-105.85112455864378,-4.225234939923302,-106.40745546036018,-17.141831785101257,8.108276902266958,-102.8136832410579,-16.177022587875467,15.000195890288158
case_660,-98.03956355773434,2.4846352566172563,-102.01164778589971,-17.819195071673327,17.358439797517175,-98.57356633603514,-17.2933102684093,22.012688742961842
case_661,-106.30260044130496,-6.769485006910642,-102.4820306353689,-16.814710242533895,12.703482172668947,-98.78811897806311,-15.816082308866173,19.05541009013418
case_662,-97.29640736955562,-7.750136290009452,-101.72855542109274,-18.637711976432374,10.77917443119189,-97.11290825599278,-17.762820792439115,19.54055699284736
case_663,-100.10441448177168,-4.316915863794682,-99.10723788173742,-18.267090872363145,7.883772854552839,-96.28271471364785,-18.134058976955895,13.810978616329951
case_664,-99.58733645688132,-13.359007475091245,-97.25406313690085,-17.963509963131546,5.238086064921122,-94.83956165687901,-17.504279591237818,13.761811077410716
case_665,-105.21699490581308,13.761237662730851,-103.03500454275677,-16.378949410696322,27.083943495914802,-100.55938582288796,-16.04659471368571,29.500919994854012
case_666,-104.37014191346488,24.807130935151033,-101.83216318712299,-15.968083732009124,41.256934175430835,-98.38877464813523,-14.99409368259996,46.68219460545981
case_667,-103.29221039798847,17.439273204062992,-102.01590203601857,-15.575287892934952,28.416310021112615,-99.04860522236208,-14.053410795184613,30.988116192871022
case_668,-104.99599546252658,13.311687209459329,-100.1094821816965,-16.48788411625146,27.670223197066793,-96.95175993714393,-15.738083007816243,37.805031376127275
case_669,-105.29542489419215,-9.593630885130871,-103.6751887932392,-19.438425293246784,10.212651745449431,-99.67468256611818,-19.294848980620337,18.609105353459153
