case,dice_fat,dice_muscle
case_306,0.7744248741912293,0.7452168383189504
case_307,0.8524955484617562,0.8135680205833195
case_308,0.7927664478260755,0.8027269707832739
case_309,0.8604212271175617,0.8248601550295526
case_310,0.8342601310126888,0.8063166039461189
case_311,0.8637229924935882,0.7725943204117146
case_312,0.45535687555865384,0.8186943453736804
case_313,0.8402945343026604,0.7546813373807584
case_314,0.8361719172730774,0.8215559826498962
case_315,0.9107076417578701,0.7888562216825031
case_316,0.6828904906957807,0.8300896012232758
case_317,0.8310940810488787,0.7881171647184907
case_318,0.8664896726156334,0.8017084971273057
case_319,0.7531979941107552,0.7592129738071289
case_320,0.798916124037438,0.7606048961190592
case_321,0.8819778834981762,0.8301328711133497
case_322,0.8607230097530127,0.7741321310721411
case_323,0.8785221967134805,0.8323804042176215
case_324,0.8664144002307029,0.7957309493357803
case_325,0.851586913666615,0.7377260347452281
case_326,0.8749475041899133,0.8485840672166528
case_327,0.7170800946265631,0.8779635432152414
case_328,0.83333066607905,0.820736128099633
case_329,0.877176561033567,0.8413502346647199
case_330,0.7730344341285698,0.8747518017107834
case_331,0.8333493121135133,0.7951096663863256
case_332,0.7977495229463528,0.6528714110724323
case_333,0.8095229460934525,0.833993932189557
case_334,0.8815435642772311,0.79560334464004
case_335,0.8938959431219335,0.7922944891067452
case_336,0.7694950539658161,0.852953434871502
case_337,0.8786928671978945,0.8274548348656571
case_338,0.8721225723878244,0.8204553302075382
case_339,0.8179798866603076,0.8196514782288841
case_340,0.6967475789208905,0.8480549721644598
case_341,0.6902813868115989,0.8052639684097538
case_342,0.7915481610780856,0.7037000121475271
case_343,0.8173874516946859,0.7537310172914033
case_344,0.7664507757695952,0.8008129170122311
case_345,0.8100082438829539,0.8332708470695379
case_346,0.810839517328987,0.7508778572060323
case_347,0.8824744194279589,0.8005012217279619
case_348,0.19789395100292725,0.8550478205374784
case_349,0.7997101359255463,0.7641509711119533
case_350,0.8423195686238363,0.7739915335678943
case_351,0.7070433074548685,0.8200022416857476
case_352,0.8679122259621621,0.7742322887853387
case_353,0.8020165553065618,0.8008693977728863
case_354,0.8115099739334909,0.8051892307920016
case_355,0.9012522420637233,0.8009328342771086
case_356,0.6007990154858873,0.810578984989278
case_357,0.7895179670692483,0.763834809146534
case_358,0.8240172050955582,0.7925881666342439
case_359,0.8589340516691554,0.8321627082755014
case_360,0.8473084142047537,0.7934815147433019
case_361,0.85839459984629,0.825612643542086
case_362,0.8376657998328979,0.7803486721235984
case_363,0.4724965871677507,0.8427025788451133
case_364,0.823208529630548,0.8092258091765335
case_365,0.7532617518399276,0.8196223521751566
case_366,0.9070897201316654,0.8171093888920182
case_367,0.8828749991225627,0.7337047260978362
case_368,0.6994294742385675,0.8346772375780271
case_369,0.9024655117762985,0.8028724355241341
case_370,0.8210744486362725,0.6791752794698065
case_371,0.8588119931041946,0.8269849836502746
case_372,0.8488928262776604,0.7510936860158204
case_373,0.8346387861027641,0.696503262956888
case_374,0.833811459230211,0.7632362058276504
case_375,0.8718509927876507,0.7753362237041516
case_376,0.8661573991828033,0.7238242072804959
case_377,0.7888346521799047,0.8576743989759028
case_378,0.823600422513958,0.8504648963159998
case_379,0.7250357442752423,0.8485485512814013
case_380,0.8646859721699888,0.8466751969829618
case_381,0.8328399564805611,0.8477975852689666
case_382,0.825703056892472,0.7994126770136654
case_383,0.8667407757084774,0.8167247804897562
case_384,0.6490426230939144,0.8434133506206265
case_385,0.875336315999142,0.7217465958551291
case_386,0.7748953675549991,0.8106361284279959
case_387,0.7823266256169833,0.749572959042406
case_388,0.8703396617289516,0.791610728353717
case_389,0.9263338420413391,0.7561846932737969
case_390,0.7717482687894727,0.8739839995910439
case_391,0.7393151502934364,0.8262345864708052
case_392,0.826445470077503,0.7856811373385918
case_393,0.7021052264349147,0.756352374602744
